rule2_position,model,cases,failed_cases,dice,abs_volume_diff_ml,abs_lesion_count_diff,lesion_f1,pr_auc,rank_dice,rank_abs_volume_diff_ml,rank_abs_lesion_count_diff,rank_lesion_f1,rank_pr_auc,mean_position
1,PP-cleanRescue,284,48,0.533468804109317,5.657557066296903,1.767605633802817,0.4841338411657384,0.6291954520630821,15.0,6.0,1.0,3.0,10.5,7.1
2,PP-clean001,284,46,0.5350737418237741,5.6594924912198215,1.823943661971831,0.48137814845561316,0.6291954520630821,8.0,10.0,4.5,4.0,10.5,7.4
3,PP-cleanConf005,284,50,0.5347196584066408,5.66010026333309,1.823943661971831,0.4853662355319356,0.6291954520630821,10.0,11.0,4.5,2.0,10.5,7.6
4,E1+V15-SWA+final-clean0002,284,43,0.5360612652854779,5.659306630652333,1.841549295774648,0.46745181036802275,0.6291954520630821,6.0,9.0,10.0,6.0,10.5,8.3
5,E1+V15-SWA,284,43,0.5360771779214863,5.659200918719979,1.8661971830985915,0.45949313632292316,0.6291954520630821,5.0,8.0,12.0,12.0,10.5,9.5
6,PP-closing,284,43,0.5360610266851404,5.706688825298788,1.8309859154929577,0.4619845227746505,0.6291954520630821,7.0,14.0,7.0,9.0,10.5,9.5
7,PP-hysteresis,284,43,0.5403785222456305,6.929637437542957,1.7711267605633803,0.4906966658261189,0.6291954520630821,1.0,34.0,2.0,1.0,10.5,9.7
8,E1,284,46,0.5345252413937138,5.6349476385983275,1.8169014084507042,0.46011505473230185,0.6167707887471947,12.0,5.0,3.0,11.0,20.0,10.2
9,E1+V15-e250,284,45,0.534990980544709,5.419166896864803,1.880281690140845,0.46413755141608865,0.6227514859897171,9.0,2.0,16.0,8.0,17.0,10.4
10,PP-t055,284,48,0.5281222395473584,5.194373010216815,1.880281690140845,0.4679298199958929,0.6291954520630821,20.0,1.0,16.0,5.0,10.5,10.5
11,E1+E2+V15-SWA,284,46,0.5328899156885908,5.714603039811369,1.869718309859155,0.4672191918065767,0.6332349203770626,17.0,15.0,13.0,7.0,2.0,10.8
12,E1+V14,284,47,0.536101070664531,5.585532171453886,1.9929577464788732,0.44990213015874725,0.6334863901859289,4.0,4.0,25.0,21.0,1.0,11.0
13,E1+V15-e300,284,46,0.5275150381051902,5.4466368166396135,1.8380281690140845,0.45912945581109355,0.6297093976618025,22.0,3.0,9.0,16.0,5.0,11.0
